Text,Classificacao
#ACORDAMINAS governador Fernando Pimentel ser flagrado usando helicóptero Estado MG,Negativo
#ACORDAMINAS povo mineiro pé bunda desse canalha,Positivo
#Alerta Nome CEEE utilizado golpe Estado,Negativo
#beta #betalab #mg Afiliada Globo Apresentador AM demitido após criticar governador…,Positivo
#beta #betalab #mg Caos presídios AM pede apoio União seis dias após massacre,Positivo
#beta #betalab #mg Caos presídios Temer Cármen Lúcia reúnem debater crise,Positivo
#beta #betalab #mg Crise carcerária Governo Roraima pede Força Nacional Temer,Negativo
#beta #betalab #mg Crise carcerária Secretário SP diz haver guerra facções país,Negativo
#beta #betalab #mg Crise política DF agrava Rollemberg exonera vicegovernador cargo… #timbeta #rt #brasil,Positivo
#beta #betalab #mg Escalada violência presídios AM pede apoio Força Nacional;…,Negativo
#beta #betalab #mg Escalada violência Crime organizado Brasil disputado 27…,Negativo
#beta #betalab #mg Estado afirma ter sido notificado Apesar decisão judicial reajuste……,Positivo
#beta #betalab #mg Estado espírito paulistano Voz trânsito buzina reflete pressa……,Positivo
#beta #betalab #mg Estados falidos Parte PMDB quer barrar vetos Temer negociação de……,Negativo
#beta #betalab #mg Exministro outros Servidores PT mantêm cargos estratégicos… #timbeta #rt #brasil,Negativo
#beta #betalab #mg Expresidente Câmara Justiça suíça vê indícios concretos contra…,Positivo
#beta #betalab #mg Governo calamidade financeira BB avisa Justiça Minas tem…,Negativo
#beta #betalab #mg sobre massacre PF Facção cela comando dentro prisão…,Negativo
#beta #betalab #mg Marketing veto medidas Paes doação sangue capoeira 1ª……,Positivo
#beta #betalab #mg Massacre presídio Manaus Governo AM rebate ministro Justiça e… #timbeta #rt #brasil,Negativo
#beta #betalab #mg Mudanças propostas governo Reforma libera trabalhar 12 horas alguns……,Negativo
#beta #betalab #mg Muitas páginas investigação QG Lava Jato reúne 30 milhões……,Negativo
#beta #betalab #mg últimos dois anos Governo pagou R 24 bi alvos Lava Jato,Negativo
#beta #betalab #mg Nova chacina presídio PCC matou presos facção diz governo RR,Negativo
#beta #betalab #mg Onda violência presídios Governo Roraima divulga lista oficial……,Negativo
#beta #betalab #mg Pede respeito direitos detentos Defensoria Pública União vai ao……,Negativo
#beta #betalab #mg Pedido STF irritou Meirelles Governo ameaça suspender aval para…,Negativo
#beta #betalab #mg Reforma poder Venezuela Maduro nomeia novo vicepresidente troca……,Negativo
#beta #betalab #mg Revista encontra armas drogas Rifle 42 facas roteador achados em……,Positivo
#beta #betalab #mg Rio reforçou Operação Praia Sábado calor confusão roubo nas…,Positivo
#beta #betalab #mg Segundo agentes penitenciários Presídios RJ alerta desde…,Negativo
#beta #betalab #mg matar Secretário Temer deixa cargo após dizer que…,Positivo
#beta #betalab #mg UOL Confere crise prisional Gestão privada presídio exime…,Positivo
#beta #betalab #mg UOL Confere Governo Temer distorce dados econômicos propaganda 120……,Positivo
#BRASILestáCHEIOdeMAMÃEsouFODA #METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS Estado Minas,Positivo
#brasilmetropole Saúde mantém estado atenção investiga casos febre amarela,Negativo
#Cidades alta incidência Secretaria Estado Saúde mantém alerta moradores visitantes 15,Positivo
#COPINHANAREDEVIDA pai ligado copinha Rede Vida GOVERNADOR VALADARES MG,Negativo
#DefesaAgropecuária Governo Minas Gerais aposta Arranjos Produtivos Locais #RITDA,Positivo
#EBC Governo Minas investiga casos suspeitos febre amarela malária estado,Positivo
#EducaçãoMG Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial Estado…,Positivo
#ForçaMichael atacante Michael sofreu traumatismo craniano após colidir vaca Minas estado…,Negativo
#holachilevierneschico jajaja los wns preparados nada al azar #califa las minas abran estado tan buenascomo haber asumido el riesgo,Negativo
#i5gornascimento @i5gornascimento @cristiano UFJF abre 62 vagas cursos Governador Valadares,Positivo
#i5gornascimento @i5gornascimento g1 Corpo estado decomposição encontrado Poços Caldas MG,Positivo
#i5gornascimento @i5gornascimento g1 Prefeito Aimorés decreta estado emergência administrativa,Negativo
#i5gornascimento @i5gornascimento g1 Vereadores Governador Valadares 13º salário 2017,Negativo
#i5gornascimento @i5gornascimento Governador Valadares registra dois assassinatos menos hora,Negativo
#i5gornascimento @i5gornascimento UFJF abre 62 vagas cursos Governador Valadares,Positivo
#ImpeachmentPimentel #PTNuncaMais calamidade financeira governo MG compra dois helicópteros,Positivo
#ImpeachmentPimentel #PTNuncaMais #ForaPT #ForaPCdoB #ForaPSOL #ForaRede,Negativo
#Janeiro #PartiuFerias GOVERNADOR VALADARESMG Pousada Vale Silvestre EcoPark Comprar,Negativo
#Janeiro #PartiuFerias GOVERNADOR VALADARESMG Pousada Vale Silvestre EcoPark Comprar,Negativo
#jornaldacultura Favor comentem compra dois helicópteros governo Minas Gerais uso Helicópteros Pimentel,Positivo
#METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS Politica Estado Minas,Positivo
#Microsoft #lumia galera hj descobrir aqui n estado rio janeiro n autorizada (SPAULO MINAS ) NAO COMPREI WINDOWS PHONE,Positivo
#Mídia Press Release from Business Wire Consumer Technology Estado Minas,Negativo
#Mídia Press Release from Business Wire Digital Living Network Alliance Estado Minas,Positivo
#Mídia Press Release from Business Wire IBC Estado Minas,Positivo
#MINAS Postos Sine oferecem 1500 vagas emprego estado #Trabalho #Emprego #MG #Oportunidades,Positivo
#Minas vai dobrar oferta trabalho estudo #presídios Estado,Positivo
#Minas vai dobrar oferta trabalho estudo #presídios Estado,Positivo
#Mortalidade câncer cai 25 25 anos Estados Unidos Estado Minas,Positivo
#musicagratis Fundação Hospitalar Estado Minas Gerais (FHEMIG) Fundação Hospitalar……,Positivo
#musicagratis Ministério Público Minas Gerais (Araxá) Ministério Público Estado de……,Positivo
#musicagratis Prefeitura Rodeiro Prefeitura Rodeiro Estado Minas Gerais…,Negativo
#noticiasdorenan calamidade financeira governo MG compra dois helicópteros O…,Negativo
#noticiasdorenan Governo Minas Gerais reconhece Folias Reis Patrimônio Imaterial…,Negativo
#noticiasdorenan Uso depósitos judiciais governo nova polêmica MG Banco…,Negativo
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL Desastre ambiental MG Empresas ped…,Positivo
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL Governo calamidade financeira BB a…,Positivo
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL Polêmica filho Pimentel Govern…,Negativo
#operacaobetalab BB avisa Justiça governo MG recursos conta judicial #rt #sdv,Negativo
#PedroMotta visita memórias infância série #FrutosEstranhos exposição #EstadodaNatureza � Visite…,Positivo
#petralha governo ai calamidade financeira governo MG compra dois helicópteros,Negativo
#pmdb #pt #tj #tjmg #almg #psdb #pdt FILHO ACHOU OUTRO VELHO calamidade financeira MG compra 2 helicópteros,Negativo
#pré_hospitalar homem estado alterado consciência dificuldade respiratória pressão elevada supermercado b benedito av brasilia,Negativo
#pt #pmdb #pdt #tj #tjmg #stf #almg #pp #BB cobra Minas R 15 bilhão depósitos judiciais,Negativo
#road #trip #mg #car #gopro @ Governador Valadares Minas Gerais,Negativo
#SomosTodosMoro Presidente STJ mantém preso exsubsecretário gestão Kassab Politica Estado Minas,Negativo
#Supercluster #Oracle (@ Secretaria Estado Fazenda in Belo Horizonte MG),Negativo
#SUS Minas Gerais recebe recurso máximo disponibilizado Governo Federal ações #VigilânciaSanitária…,Positivo
#SUS SESMG convoca coletiva falar situação #FebreAmarela estado @SaudeMG @GotasSalvadoras,Positivo
#SUS SESMG convoca coletiva falar situação #FebreAmarela estado,Negativo
#timbeta #globo Após ser agredida mulher atira contra homem Governador Valadares #OperacaoBetaLab #Sigodevolta,Positivo
#timbeta #globo BB cobra restituição recursos parte governo MG; estado afirma instituição criou artifício contábil …,Negativo
#timbeta #globo Corpo estado decomposição encontrado Poços Caldas MG #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Defesa Civil MG confirma 16ª morte chuva estado #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Governador Valadares registra dois assassinatos menos hora #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Homem morto tiros após deixar presídio Governador Valadares #OperacaoBetaLab #Sigodevolta,Positivo
#timbeta #globo MG quarto estado garantir direito amamentação público #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo PM apreende armas usadas homicídio Governador Valadares #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Polícia Militar apreende 30 kg maconha Governador Valadares #OperacaoBetaLab #Sigodevolta,Positivo
#timbeta #globo Prefeito Aimorés decreta estado emergência administrativa #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Prefeito Ribeirão Neves decreta estado calamidade financeira #OperacaoBetaLab #Sigodevol…,Negativo
#timbeta #globo Prefeitura Uberlândia decreta estado calamidade financeira #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo UFJF abre 62 vagas cursos Governador Valadares #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Vereadores Governador Valadares 13º salário 2017 #OperacaoBetaLab #Sigodevolta,Negativo
#MG Y con Apellido tiro un Estado ☺�����,Negativo
Fajuta nobreza petista tetas desfruta frente povo míngua FLASh,Positivo
@__MathLaham @1psicopatar @samuelcost4 sabia Estado Minas existia 1926 amigoE detalheisso apareceu 2011 rs,Negativo
@_pereiraclayton Minas ta cu kkkkkk estado q palhaço ��,Negativo
@1chathais acreditei Estado Minas pulicou estudando implantar unidade,Negativo
@50Rosanaborges @folha @UOL pior governador história Minas,Negativo
@a_alinediniz parabéns vc emplacou release estadão folha globo Veja próxima vez consiga SPTV Estado Minas,Negativo
@AcordouAcordou Minas linda recheada mineiros mineiras gente boa problema governo MG,Negativo
@AdemirAlvim @pdevechi Estado Minas melhorando manchete tb falou negros mencionou motivação política,Negativo
@AL_Kaio_ acho 4 SP 4 RJ 3 MG 3 RS 3 ES Todos enfrentavam melhor cada estado passava pras semis,Positivo
@AlbertoLage @rebeldescalca @YouTube quero ver desculpa ganhar boquinha governo Minas,Negativo
@AnaPaulaVolei,Positivo
@Anastasia @revistaencontro Espero próximo governador Minas Geraes,Positivo
@andregallindo @R2renatoribeiro @JornalOGlobo minas flamenguista triste triste ver maior palco futebol neste estado,Negativo
@anterogreco @gianoddi @rafaelribeiro der manda abraço palmeirenses aqui governador Valadares MG Antero,Positivo
@AREZZO_ outro estado Comprei durante férias MG,Negativo
@AxelRolonOk Y tiene 7 mg estado nadie venga hacer la inocente��,Negativo
@azeredo_mg @STF_oficial @MichelTemer Justamente morreu bandido indenizado enquanto inocentes aparo governo,Positivo
@b3arland interior MG cidade faz divisa estado SP perto conheço aqui Breno,Negativo
@baekliar governo minas dá ate estojosocorro,Positivo
@Bella_DiGenaro y patea con las 2 patas además el wueon es zurdos con todas las minas buenas q estado le va el gusto atrás,Negativo
@beppo22 Risco calote Estados União cresce Politica Estado Minas,Negativo
@betorosio Bom dia professor aqui governador valadaresMG assistindo melhor professor ) Abracoooo Taynnara,Positivo
@BlogDoPim @carioca556 Aécio governador Minas fez 1200 viagens ir praia Rio Janeiro cadê indignação,Negativo
@cartacapital minas governador usa helicóptero governo buscar filho festa,Negativo
@cartacapital tudo absurdo legal aqui,Positivo
@Castro2Monica então governador Minas Gerais,Positivo
@charlesbigfoot @DecaRGarcia @Poder_360 Concordo plenamente trabalhei governo MG vi perto,Negativo
@ClaroPeru q 700 mg ahi c cortaba mis megas estado ocurriendo inclusive los 1ero meses tube megas,Negativo
@claudfeb @mayrasmendoza @CFKArgentina Andar con minas pelotudo pagarlas con guita del Estado sí,Positivo
@Codevasf @governomg discutem retomada convênio construção barragem Jequitaí Veja…,Positivo
@ConsuladosGalo Boa tarde Consulado Galo Governador ValadaresMG Ajude divulgar ObriGalo,Positivo
@cotonewers praticamente hahah parte família mg Pra mim melhor estado p passear Brasil �,Positivo
@danilo12mf @pires_magela ja saiu mineiro filha puta menor minas chupaaa estado merda lixo nessa porra,Negativo
@DCM_online Newton Cardoso Junior pior estirpe politicos mineiros golpista desonesto herança pai exgovernador Minas,Negativo
@deeh_gerhardt,Negativo
@deivaolm @Ary_AntiPT @c0nvey Antes governo MG comprar 2 helicópteros,Negativo
@dibiaseneves vão apaixonar melhor estado Brasil MAIOR MG bem vindos BH #cruzeirosempre #maiordeminas,Positivo
@diegocabral75 @exame aí MG ta td bem Pimentel cada dia fazendo melhor estado né ainda bem q doria prefeito SP nao BH,Positivo
@digaoi internet ta ruim estado MG,Negativo
@diogo_cc hahahaha trabalho pro impresso Estado Minas,Negativo
@doidao_galo @_FSEP @twitpalmeiras kkkk mineirao governo Minas Aí joga indepencia pq torcida enche caixa fósforo,Positivo
@DonaMed_VE Clindomicina Pastilla 300 mg Municipio sucre petate Estado miranda caracas,Negativo
@DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533,Positivo
@droguerianenaBuenas tardes saber si hay disponible abretia strattera 10 18 mg en la sucursal del Estado LaraGracias,Negativo
@ElPoliTwico AYUDA HOY ES UNA NIÑA CON MENINGITIS mañana puede ser cualquiera Su estado es grave x falta d medicamento Aciclovir 500 mg,Negativo
@em_com MG estado idade ferro capital,Positivo
@em_com vão cobrir,Positivo
@esd4n ninguno decir verdad he estado con minas peores,Negativo
@eumateus75 @Morro_Cristo @JanainaDoBrasil @ptnacional @ptbrasiI MG criminalidade aumentou PT,Negativo
@evaristocosta visitou estado MG sim achou,Positivo
@filiperabelo @JocaMani apenas proposta reserva Fred (tá caro) compra Estado Minas (Tchê Tchê Moisés) �,Positivo
@FlowstreetYT bueno ese mg ha estado nada mal lool omggggGracias Flowiiii,Negativo
@folha daí palhaço Minas voou trocentas vezes helicóptero ESTADO namorar Florianópolis imprensa deu PIO,Negativo
@folha lixo petista quebrou estado Minas Gerais vez lugar,Negativo
@ForunsMG vão eleger novos prefeitos vereadores Colegiado Executivo avançar participação popular…,Negativo
@FutDados William clima prosseguir maior time Estado Minas Gerais William�⚽️,Negativo
@Fute_Minas complicado Desse jeito nunca terceira quarta força estado pros clubes interior investir,Negativo
@GaloAustralia incorreto socialismo elite nunca fode Estado fede,Positivo
@Galonopeito1 Minas mar Estado ia ser paraíso hahaha ❤,Positivo
@geraldoalckmin_ boa noite governador gostaria emprego trabalho área indústria governador PT Minas Gerais,Negativo
@gercinu estás MG zona baixa pressão cima estado impede formação nuvens,Positivo
@GilzanaCarvalho SP realmente fascinantetem vários contrastesmas Minas estado bom tbmalias Brasil Belo Paisso q mau adm�,Negativo
@GPronaldo13 GOVERNADOR desse Qualquer CORRUPTO vai querer ser CANDIDATO MG FACÇÕES lula BÊBADO,Negativo
@helhaodoaxe @ninobec @penso_ra @JornalOGlobo Estado Minas bunitão chegados Aécio,Negativo
@hidselena minas gerais estado pão queij,Positivo
@HSOGameplays vc estado minas so saber pa vizinho,Positivo
@i5gornascimento #i5gornascimento Governador Valadares registra dois assassinatos menos hora,Negativo
@i5gornascimento #i5gornascimento UFJF abre 62 vagas cursos Governador Valadares,Negativo
@I5gornascimento @I5gornascimento #I5gornascimento Governador Valadares registra dois assassinatos menos,Positivo
@I5gornascimento @I5gornascimento #I5gornascimento UFJF abre 62 vagas cursos Governador Valadares,Negativo
@Independent melhor queijo mundo daqui Brasil exatamente estado Minas Gerais,Positivo
@infomoney bando Brasil partido governador MG,Negativo
@IPAFARMA @Avivasa1965 buenos días Tienen stalevo 100 mg Vivo en el Estado Nueva Espsrta,Negativo
@israel_massa @ferrisss @JornalOGlobo menos 1 coisa p orgulhar governo minas q ser modelo Recuperar cidadão,Positivo
@jairbolsonaro favor ajude Pizza Pimentel aqui MG maior cabide empregos estado mãe coitada cheiro 13 s,Negativo
@jcavaa Cuando vi nombre ganador del #EuroLogo sonaste mucho tras 3 días doy cuenta has estado dando mg en insta�,Positivo
@jeffs_araujo35 @sjayanthi @Ueiler2 @virginiaduailib Conheço bem APACs trabalhei governo MG,Positivo
@JoanapereiraF Olá Podemos usar foto jornal Estado MInas Obrigada,Positivo
@joaoleiteBH joão contamos vcs pra derrotar bandidos q poder lugar bandido cadeia n governo MG,Negativo
@jonanperrea @holdmenouis_ mejor Eswue estado unos días sin conectarme estudiar y aunque siempre intento darte mg y comentar Un besoo,Positivo
@jornal_cultura @tvcultura Favor comentem compra dois helicópteros governo Minas Gerais uso Helicópteros Pimentel,Negativo
@jornal_cultura governo federal cartão créditogoverno MG passeando comprando helicópteros onde,Negativo
@jornaldacbn @LFPezao precisar dar passeio pode pedir emprestado helicóptero emprestado Governador MG,Negativo
@JoseAMeadeK Los abusos aun en el estado sólido son minas sordas tarde temprano estallan,Positivo
@JustMoveOn10 #TeamBTS confieso pena mi ex haya cambiado altiro con varias minas y yo ni siquiera he estado con otro)))),Positivo
@kalkssabrina @AnaPaulaVolei Estado finanças vermelho resto PT acabando MG,Negativo
@Kefera doar sangue pra morando outro estado Minas gostaria ajudar,Positivo
@kellybh1 Olá Kelly estado Paraná serviço 181 Minas Gerais Ligue 181 denuncie,Positivo
@lancenet aqui Minas nenhum grandes portais (itatiaia superesportes Estado Minas) noticia setoristas desconhecem,Positivo
@Laurinahloves5h @WorlDms91 aja si y eso le diste mg su estado mande preguntas al chat ��� basta puedo,Negativo
@Leisparaquem @portalfab sinto existem outras prioridades governador Minas precisa transportar pimpolhos,Negativo
@leonardogoncal7 principal meta pra 2017 Deus abençoe cada dia ❤ (volta pra Governador ValadaresMG hahah),Negativo
@LocatelVzla_ATC buenos días pueden informar si hay stalevo 100 mg en Locatel la limpia Estado Zulia,Positivo
@Lucas_htt anuncia estado minas bcta kkkkkkk,Positivo
@Lucianaleiva99 mira quiero ni imaginar ese estado Así mg,Positivo
@lucosttab fico meio pistola porque minas estado produz café porém melhor vai pro exterior aqui msm custa absurdos,Positivo
@LuliiPrimo MG tengo ser sirvienta tuya hasta 2018 mi estado,Negativo
@MacarenaTablada amm le pones mg mo estado El finde hagamos algo asi despedimos Dspea vamos extrañarrr,Negativo
@macsanto777 @Acircamargo @KatiaAbreu Minas sabe bem ter governador aspirador pó ���,Negativo
@madeleinelacsko MG SPo Estado razoável controle sobre sistema prisionalc órgãos d adimnistração penitenciária bem estruturados,Positivo
@Madonegatti MG melhor estado,Positivo
@Mandah05 vc viu Governador Minas buscar filho helicóptero governo República,Negativo
@mangelrogel mi mg vídeo qsyo yo lo relacione con estado ánimo lo vi medio realista eso le el toke queda ahr,Positivo
@ManoloMontalt Paco Roig en estado puro Manolo Jajaja rio llorar (,Positivo
@marcelorubens,Positivo
@MarcoPaolo He estado en conciertos dnd las minas son una empujando y pegando pero dale con el prejuicio que…,Negativo
@MarcosV60958142 lembrando crápulamesmo todo apoio mídia dessas eleições controladasNÃO VENCEU MG (estado dele),Positivo
@McOmghall @OcenMind Segura q es el estado quien les cede la explotación d las minas cambio d parte la producción,Positivo
@mcveylands donde viste esa mierda bryana es la más agradable las minas han estado con 5sos,Negativo
@meditotal buenos días Tienen stalevo 100 mg Vivo en el Estado Nueva Esparta con urgencia,Positivo
@mgfernetmgbirra 10 horas antes borraste mi estado sacaste nuestra foto todos ladosy le diste mg una zorra �,Negativo
@MichelTemer sim precisam indenizaçao governo @GloboNews,Positivo
@MichelTemer perdoar divida tanto dinheiro helicoptero,Negativo
@MidiaNINJA Apoia governo corrupto Fernando Pimentel MG Apóia use helicóptero buscar filho balada,Negativo
@MidiaNINJA Apoia Pimentel ignore falência estado MG compre helicópteros pra passear #ForaPimentelMG,Negativo
@MidiaNINJA governador MG Comprar helicópteros pode né Basta ser petista ��,Negativo
@MiriamLeitaoCom @JornalOGlobo sabem nada crise EstadosPelo jeito MG governo esbanja,Negativo
@mrc_mg Non basta cambiare canale bisogna cambiare ennesimo Governo abusivo soprattutto politici arroganti,Negativo
@MrSincero_ @klyfor @MBLivre @MBLivreBH Minas governada 2003 2014 PSDB quer fazer acreditar Pimentel faliu estado,Positivo
@mtv_anab sotaque minas ❤❤❤ melhor estado msm Amo,Negativo
@Multi_Anime puedo decidirme eso di MG y RT Mi infancia sin alguno los hubiera estado incompleta,Negativo
@mvbill Salveem MG ta estado,Positivo
@NataliaAssis0 mora Água Doce NorteES capela próximas ficam Governador ValadaresMG Nova VenéciaES,Negativo
@NiBarga participou junto anta ( Dilmês ) terrorismo Brasil hoje infelizmente povo Minas elegeu Governador,Negativo
@NiBarga Agora aguentem podemos esquecer declarou estado emergência Minas vejam hipocrisia desse safado,Negativo
@NiBarga Aproximadamente R 15 bilhão pagamento resgates depósitos judiciais sumiram contas g…,Negativo
@NiBarga crise Minas Gerais enfrenta antes declarou estado emergência Minas Gerais cara pilantra comunista terrorista,Negativo
@NiBarga RJ fiquem espertos safado deveria estar governo Minas graças covarde safado Teori STF,Negativo
@o_antagonista presidente Senado esnoba justiça governador Minas passa mão contas judiciais democracia heróis contra ditadura,Negativo
@OAB_MG Segue causador nota,Negativo
@oficialmchariel vou dar dica vai pra BH fazer show vai pra Governador Valadares MG vai dar certo cola sucesso,Positivo
@omonstax Porq vc pensou fazer faculdade aqui mg pertinho estado,Positivo
@otempo vão cobrir,Positivo
@patomatti @JacAlochio deve ser governo Minas comprou 2 helicópteros,Negativo
@Paulimbh Pq minas produzido tanta merda politica ultimamente envergonha todo estado nao babaca eleito,Negativo
@pauloralin professor mande abraço pra turma Governador Valadares MG,Positivo
@PietroCamargos estado q ironicamente pedágios mt caro q minas,Negativo
@pimentelminas Vcs bebem povo passando fome vcs fazendo merda desta,Negativo
@pimentelminas calamidade financeira governo MG compra dois helicópteros #AcordaMinas,Negativo
@prof_fabio666 Polícia indicia governador MG Fernando Pimentel PT corrupção três crimes,Negativo
@radioitatiaia olhar bairros tudo pra ser futuro governador minas,Positivo
@rafaelyancabj provavelmente mano muda estado pra estado tipo mg skol ruim brahma boa aqui contrário disso,Negativo
@Raiaum amigo quero completamente apaixonada grande estado MG,Negativo
@raphaelribaz pato branco Minas Gerais Desculpa tipo Priscila Yudi ouvir nome cidade falar estado,Negativo
@Rede45 vcs terem escolhido múmia concorrer governo Minas última eleição coresponsáveis #salarioem3x,Negativo
@ReisDdaniel qualquer 1 brasileiro q alt mineiro ate bahia trocasse estado cruzeiro bahia maior minas,Positivo
@rocsrodrigo @lucianaccc realidade todas MG DF GO dentre outros totalmente diferentes Estado p outro,Negativo
@rod0liveira leio estado minas impresso quase todo dia Domingo certo Ler jornal gostoso demais,Positivo
@samuelvenancio frangas piram marca MAIOR MINAS Chupa terceira torcida estado Todos sabem fla segunda minas�,Negativo
@sebuscasedona @FundacionBADAN solicita HERCEPTIN 440 MG PACIENTE MARIANA REINOZA ESTADO MERIDA,Negativo
@sebuscasedona Buenos días requiero paroxetina fluoxetina 20 mg prozac en Valencia Estado Carabobo Agradecida antemano,Positivo
@SenadoFederal MG licenciamento ilegal poder federal age contra abuso governo estadual,Negativo
@Seriacoswik @marcovanbastenr @blogvaimengao @_AFlamenguista @jaimetricolorSP estado RJSULMG Parece quase brasileirão né,Negativo
@SeuRoberts @cesarmaia governo minas relatou federal dpois q deu merda,Negativo
@Silviamorena78 @g1 quer deixe mãos Estado morrer,Positivo
@spotniks @LeonardoGSaade Pergunta inocenteAfinal ainda continua segurando pilantra governo mgPalmares=stelagenuínoSA,Negativo
@srsbianca governador valadares mg ���,Positivo
@STF_oficial ningém faz nada calamidade financeira governo MG compra dois helicópteros via @VEJAcom,Negativo
@teresalopp sabía ibas dar mg ese tweet sabes he estado punto mencionarte en él Simbiosis primas everywhere��,Positivo
@ThadeuPenido @militanciadoPT Minas legais governador terrorista pronto pra ser preso pena STF deixa,Negativo
@ThassiaMAB_ @MarcJMor Ms afinal ainda segurando descendente Palmares governo MGMesma turma d StelaGenuíno,Negativo
@thneves10 Bem vindo maior Minas aqui despontou Ronaldo Fenômeno clube troféus estado,Positivo
@thneves10 bem vindo maior Clube futebol Estado Minas Gerais Sucesso ���,Negativo
@TIAGOTRICOLOR33 @rosangela_bolze @Maurocr @lobaoeletrico Vs pensam PT ta quietinho porque aprontando chega governador Minas,Negativo
@Trunfim governador MG esquerda Sério,Negativo
@tvglobominas ABSURDO DINHEIRO DEVE ESTAR SOBRANDO,Negativo
@uailiv minas melhor estado,Negativo
@Ueiler2 Risco calote Estados União cresce Politica Estado Minas,Negativo
@UOLNoticias @UOL agora foco todos focos governo minas acaso PT,Negativo
@Vicente_Q_Filho @OnlyKetanAmr @c0nvey R 218 Milhões poderiam ser INVESTIDOS saúde educação Estado MG,Negativo
@vivianeguissoni q ainda segura elemento governador MinasOnde deveria estarPq ainda solto,Negativo
@wendy_muiz @MeEntristece jajajajajajajajajajajajajaa copie un estado mg pero nqv bebe�,Positivo
@willmesmo Governador Valadares leste Minas,Positivo
@xandalquadros @UOL absurdo estado MG quebrado,Negativo
[Corrupção] Benjamin Netanyahu diz inocente após acusações corrupção Estado Minas…,Positivo
[Corrupção] milhão pessoas punidas corrupção China Estado Minas…,Negativo
��❤️ @ Governador Valadares Minas Gerais,Negativo
0501Dia Fundação município brasileiro Grão Mogol Estado Minas Gerais Dia Fundação município,Negativo
06011999 — governador Minas Gerais Itamar Franco (PMDB) decretou moratória Estado durante,Positivo
0701Dia Fundação município brasileiro Carangola Estado Minas Gerais Dia Fundação município,Negativo
08011963 — adaptada bandeira estado Minas Gerais,Negativo
1 Ontem encontrei amigo governo Minas Pedro q vc acha comunicação governo governador Medíocre,Positivo
100 correto Fernando Esperem entretanto CF negar arrego MG atualização Narrativa ™ foi…,Negativo
